county,office,district,party,candidate,votes
Adams,Attorney General,,D,Jeffrey A. Crossman,1488
Adams,Attorney General,,R,Dave Yost,7334
Adams,Auditor of State,,D,Taylor Sappington,1620
Adams,Auditor of State,,R,Keith Faber,7097
Adams,Chief Justice of the Supreme Court (Term Commencing 01/01/2023),,D,Jennifer Brunner,1667
Adams,Chief Justice of the Supreme Court (Term Commencing 01/01/2023),,R,Sharon L. Kennedy,7127
Adams,Governor/Lieutenant Governor,,D,Nan Whaley,1395
Adams,Governor/Lieutenant Governor,,R,Mike DeWine,7348
Adams,Judge of the Court of Appeals (Term Commencing 02/09/2023),4,R,Kristy Wilkin,7462
Adams,Justice of the Supreme Court (Term Commencing 01/01/2023),,D,Terri Jamison,1634
Adams,Justice of the Supreme Court (Term Commencing 01/01/2023),,R,Pat Fischer,7085
Adams,Justice of the Supreme Court (Term Commencing 01/02/2023),,D,Marilyn Zayas,1692
Adams,Justice of the Supreme Court (Term Commencing 01/02/2023),,R,Pat DeWine,7076
Adams,Secretary of State,,,Terpsehore Tore Maras,77
Adams,Secretary of State,,D,Chelsea Clark,1513
Adams,Secretary of State,,R,Frank LaRose,7204
Adams,Treasurer of State,,D,Scott Schertzer,1585
Adams,Treasurer of State,,R,Robert Sprague,7140
Adams,U.S. House,2,D,Samantha Meadows,1473
Adams,U.S. House,2,R,Brad Wenstrup,7411
Adams,U.S. Senate,,D,Tim Ryan,1976
Adams,U.S. Senate,,R,JD Vance,6749
Allen,Attorney General,,D,Jeffrey A. Crossman,7861
Allen,Attorney General,,R,Dave Yost,24882
Allen,Auditor of State,,D,Taylor Sappington,7582
Allen,Auditor of State,,R,Keith Faber,25083
Allen,Chief Justice of the Supreme Court (Term Commencing 01/01/2023),,D,Jennifer Brunner,8493
Allen,Chief Justice of the Supreme Court (Term Commencing 01/01/2023),,R,Sharon L. Kennedy,24169
Allen,Governor/Lieutenant Governor,,D,Nan Whaley,6835
Allen,Governor/Lieutenant Governor,,R,Mike DeWine,25461
Allen,Judge of the Court of Appeals (Term Commencing 02/09/2023),3,R,William R. Zimmerman,26542
Allen,Judge of the Court of Appeals (Term Commencing 02/11/2023),3,R,Juergen A. Waldick,26535
