county,office,district,party,candidate,votes
Adams,Attorney General,,Democratic,Steve Dettelbach,2147
Adams,Attorney General,,Republican,Dave Yost,6272
Adams,Auditor of State,,Democratic,Zack Space,1967
Adams,Auditor of State,,Libertarian,Robert C. Coogan,300
Adams,Auditor of State,,Republican,Keith Faber,6223
Adams,Governor,,Democratic,Richard Cordray,2184
Adams,Governor,,Green,Constance Gadell-Newton,106
Adams,Governor,,Libertarian,Travis M. Irvine,157
Adams,Governor,,Republican,Mike DeWine,6302
Adams,Secretary of State,,Democratic,Kathleen Clyde,2138
Adams,Secretary of State,,Libertarian,Dustin R. Nanna,171
Adams,Secretary of State,,Republican,Frank LaRose,6255
Adams,Treasurer of State,,Democratic,Rob Richardson,2147
Adams,Treasurer of State,,Republican,Robert Sprague,6386
Adams,U.S. Senate,,Democratic,Sherrod Brown,2635
Adams,U.S. Senate,,Republican,Jim Renacci,6000
Allen,Attorney General,,Democratic,Steve Dettelbach,11228
Allen,Attorney General,,Republican,Dave Yost,24461
Allen,Auditor of State,,Democratic,Zack Space,10222
Allen,Auditor of State,,Libertarian,Robert C. Coogan,1111
Allen,Auditor of State,,Republican,Keith Faber,24690
Allen,Governor,,Democratic,Richard Cordray,10825
Allen,Governor,,Green,Constance Gadell-Newton,331
Allen,Governor,,Libertarian,Travis M. Irvine,605
Allen,Governor,,Republican,Mike DeWine,24200
Allen,Secretary of State,,Democratic,Kathleen Clyde,10710
Allen,Secretary of State,,Libertarian,Dustin R. Nanna,806
Allen,Secretary of State,,Republican,Frank LaRose,24363
Allen,Treasurer of State,,Democratic,Rob Richardson,11223
Allen,Treasurer of State,,Republican,Robert Sprague,24464
Allen,U.S. Senate,,Democratic,Sherrod Brown,14429
Allen,U.S. Senate,,Republican,Jim Renacci,21492
Ashland,Attorney General,,Democratic,Steve Dettelbach,5451
Ashland,Attorney General,,Republican,Dave Yost,13012
Ashland,Auditor of State,,Democratic,Zack Space,5010
Ashland,Auditor of State,,Libertarian,Robert C. Coogan,807
Ashland,Auditor of State,,Republican,Keith Faber,12465
Ashland,Governor,,Democratic,Richard Cordray,5157
Ashland,Governor,,Green,Constance Gadell-Newton,274
Ashland,Governor,,Libertarian,Travis M. Irvine,439
Ashland,Governor,,Republican,Mike DeWine,12846
Ashland,Secretary of State,,Democratic,Kathleen Clyde,5252
Ashland,Secretary of State,,Libertarian,Dustin R. Nanna,527
Ashland,Secretary of State,,Republican,Frank LaRose,12617
Ashland,Treasurer of State,,Democratic,Rob Richardson,5172
Ashland,Treasurer of State,,Republican,Robert Sprague,13041
Ashland,U.S. Senate,,Democratic,Sherrod Brown,6472
Ashland,U.S. Senate,,Republican,Jim Renacci,12048
Ashtabula,Attorney General,,Democratic,Steve Dettelbach,13660
Ashtabula,Attorney General,,Republican,Dave Yost,17860
Ashtabula,Auditor of State,,Democratic,Zack Space,13596
Ashtabula,Auditor of State,,Libertarian,Robert C. Coogan,1595
Ashtabula,Auditor of State,,Republican,Keith Faber,16652
Ashtabula,Governor,,Democratic,Richard Cordray,13668
Ashtabula,Governor,,Green,Constance Gadell-Newton,595
Ashtabula,Governor,,Libertarian,Travis M. Irvine,786
Ashtabula,Governor,,Republican,Mike DeWine,17184
Ashtabula,Secretary of State,,Democratic,Kathleen Clyde,14009
Ashtabula,Secretary of State,,Libertarian,Dustin R. Nanna,979
Ashtabula,Secretary of State,,Republican,Frank LaRose,16998
Ashtabula,Treasurer of State,,Democratic,Rob Richardson,13933
Ashtabula,Treasurer of State,,Republican,Robert Sprague,17821
Ashtabula,U.S. Senate,,Democratic,Sherrod Brown,16473
Ashtabula,U.S. Senate,,Republican,Jim Renacci,15794
Athens,Attorney General,,Democratic,Steve Dettelbach,13847
Athens,Attorney General,,Republican,Dave Yost,8083
Athens,Auditor of State,,Democratic,Zack Space,14261
Athens,Auditor of State,,Libertarian,Robert C. Coogan,868
Athens,Auditor of State,,Republican,Keith Faber,7224
Athens,Governor,,Democratic,Richard Cordray,14261
Athens,Governor,,Green,Constance Gadell-Newton,382
Athens,Governor,,Libertarian,Travis M. Irvine,434
Athens,Governor,,Republican,Mike DeWine,7566
Athens,Secretary of State,,Democratic,Kathleen Clyde,14016
Athens,Secretary of State,,Libertarian,Dustin R. Nanna,668
Athens,Secretary of State,,Republican,Frank LaRose,7597
Athens,Treasurer of State,,Democratic,Rob Richardson,14066
Athens,Treasurer of State,,Republican,Robert Sprague,8026
Athens,U.S. Senate,,Democratic,Sherrod Brown,15472
Athens,U.S. Senate,,Republican,Jim Renacci,7126
Auglaize,Attorney General,,Democratic,Steve Dettelbach,3849
