county,office,district,party,candidate,votes
Adams,Attorney General,,D,Richard Cordray,5192
Adams,Attorney General,,I,Robert Owens,464
Adams,Attorney General,,L,Marc Feldman,384
Adams,Attorney General,,R,Mike DeWine,10408
Adams,Auditor of State,,D,David Pepper,5500
Adams,Auditor of State,,L,L. Michael Howard,904
Adams,Auditor of State,,R,Dave Yost,9662
Adams,Chief Justice of the Supreme Court - Term Commencing 01/01/2011,,,Eric Brown,4396
Adams,Chief Justice of the Supreme Court - Term Commencing 01/01/2011,,,Maureen O'Connor,9608
Adams,Governor/Lieutenant Governor,,C,Dennis Spisak,232
Adams,Governor/Lieutenant Governor,,D,Ted Strickland,6382
Adams,Governor/Lieutenant Governor,,L,Ken Matesz,404
Adams,Governor/Lieutenant Governor,,R,John Kasich,9674
Adams,Secretary of State,,D,Maryellen O'Shaughnessy,4822
Adams,Secretary of State,,L,Charles Earl,884
Adams,Secretary of State,,R,Jon Husted,10274
Adams,Treasurer of State,,D,Kevin Boyce,4846
Adams,Treasurer of State,,L,Matthew Cantrell,762
Adams,Treasurer of State,,R,Josh Mandel,10486
Adams,U.S. Senate,,C,Eric Deaton,238
Adams,U.S. Senate,,D,Lee Fisher,4006
Adams,U.S. Senate,,G,Michael Pryce,166
Adams,U.S. Senate,,R,Rob Portman,12232
Adams,U.S. Senate,,S,Daniel LaBotz,66
Allen,Attorney General,,D,Richard Cordray,24106
Allen,Attorney General,,I,Robert Owens,2380
Allen,Attorney General,,L,Marc Feldman,1798
Allen,Attorney General,,R,Mike DeWine,37742
Allen,Auditor of State,,D,David Pepper,20938
Allen,Auditor of State,,L,L. Michael Howard,3040
Allen,Auditor of State,,R,Dave Yost,42292
Allen,Chief Justice of the Supreme Court - Term Commencing 01/01/2011,,,Eric Brown,16066
Allen,Chief Justice of the Supreme Court - Term Commencing 01/01/2011,,,Maureen O'Connor,44972
Allen,Governor/Lieutenant Governor,,C,Dennis Spisak,814
Allen,Governor/Lieutenant Governor,,D,Ted Strickland,25510
Allen,Governor/Lieutenant Governor,,L,Ken Matesz,1652
Allen,Governor/Lieutenant Governor,,R,John Kasich,37964
Allen,Secretary of State,,D,Maryellen O'Shaughnessy,17704
Allen,Secretary of State,,L,Charles Earl,2860
Allen,Secretary of State,,R,Jon Husted,45684
Allen,Treasurer of State,,D,Kevin Boyce,18492
Allen,Treasurer of State,,L,Matthew Cantrell,3954
Allen,Treasurer of State,,R,Josh Mandel,43632
Allen,U.S. Senate,,C,Eric Deaton,1126
Allen,U.S. Senate,,D,Lee Fisher,19160
Allen,U.S. Senate,,G,Michael Pryce,690
Allen,U.S. Senate,,L,Arthur Sullivan,2
Allen,U.S. Senate,,R,Rob Portman,45224
Allen,U.S. Senate,,S,Daniel LaBotz,262
Ashland,Attorney General,,D,Richard Cordray,11026
Ashland,Attorney General,,I,Robert Owens,1760
Ashland,Attorney General,,L,Marc Feldman,1434
Ashland,Attorney General,,R,Mike DeWine,20186
Ashland,Auditor of State,,D,David Pepper,9916
Ashland,Auditor of State,,L,L. Michael Howard,2104
Ashland,Auditor of State,,R,Dave Yost,21872
Ashland,Chief Justice of the Supreme Court - Term Commencing 01/01/2011,,,Eric Brown,8758
Ashland,Chief Justice of the Supreme Court - Term Commencing 01/01/2011,,,Maureen O'Connor,21610
Ashland,Governor/Lieutenant Governor,,C,Dennis Spisak,602
Ashland,Governor/Lieutenant Governor,,D,Ted Strickland,11794
Ashland,Governor/Lieutenant Governor,,L,Ken Matesz,1202
Ashland,Governor/Lieutenant Governor,,R,John Kasich,21172
Ashland,Secretary of State,,D,Maryellen O'Shaughnessy,9230
Ashland,Secretary of State,,L,Charles Earl,2324
Ashland,Secretary of State,,R,Jon Husted,22380
Ashland,Treasurer of State,,D,Kevin Boyce,9190
Ashland,Treasurer of State,,L,Matthew Cantrell,2108
Ashland,Treasurer of State,,R,Josh Mandel,22840
Ashland,U.S. Senate,,C,Eric Deaton,890
