county,office,district,party,candidate,votes
Adams,Judge of the Court of Appeals (Term Commencing 02/09/2025),4,R,Jason P. Smith,10090
Adams,Judge of the Court of Appeals (Term Commencing 02/10/2025),4,R,Mike Hess,10106
Adams,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,2138
Adams,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,9562
Adams,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,2151
Adams,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,9712
Adams,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,2133
Adams,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,9593
Adams,President/Vice President,,,Peter Sonski and Lauren Onak,14
Adams,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,21
Adams,President/Vice President,,D,Kamala D. Harris and Tim Walz,2098
Adams,President/Vice President,,L,Chase Oliver and Mike ter Maat,27
Adams,President/Vice President,,R,Donald J. Trump and JD Vance,10269
Adams,U.S. House,2,D,Samantha Meadows,2072
Adams,U.S. House,2,R,David J. Taylor,9923
Adams,U.S. Senate,,D,Sherrod Brown,2447
Adams,U.S. Senate,,L,Don Kissick,400
Adams,U.S. Senate,,R,Bernie Moreno,9325
Allen,Judge of the Court of Appeals (Term Commencing 02/09/2025),3,R,John R. Willamowski,35794
Allen,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,12175
Allen,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,30988
Allen,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,13078
Allen,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,31472
Allen,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,12794
Allen,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,31368
Allen,President/Vice President,,,Peter Sonski and Lauren Onak,79
Allen,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,116
Allen,President/Vice President,,D,Kamala D. Harris and Tim Walz,12754
Allen,President/Vice President,,L,Chase Oliver and Mike ter Maat,211
Allen,President/Vice President,,R,Donald J. Trump and JD Vance,33201
Allen,U.S. House,4,D,Tamie Wilson,13433
Allen,U.S. House,4,R,Jim Jordan,32357
Allen,U.S. Senate,,D,Sherrod Brown,14120
Allen,U.S. Senate,,L,Don Kissick,1655
Allen,U.S. Senate,,R,Bernie Moreno,30208
Ashland,Judge of the Court of Appeals (Term Commencing 02/09/2025),5,R,Robert G. Montgomery,20509
Ashland,Judge of the Court of Appeals (Term Commencing 02/10/2025),5,R,Kevin W. Popham,19779
Ashland,Judge of the Court of Appeals (Term Commencing 02/11/2025),5,R,David Gormley,19697
Ashland,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,6304
Ashland,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,18860
Ashland,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,6611
Ashland,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,18577
Ashland,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,6443
Ashland,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,18710
Ashland,President/Vice President,,,Peter Sonski and Lauren Onak,55
Ashland,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,65
Ashland,President/Vice President,,D,Kamala D. Harris and Tim Walz,6544
Ashland,President/Vice President,,L,Chase Oliver and Mike ter Maat,135
Ashland,President/Vice President,,R,Donald J. Trump and JD Vance,19863
Ashland,U.S. House,4,D,Tamie Wilson,6448
Ashland,U.S. House,4,R,Jim Jordan,19439
Ashland,U.S. Senate,,D,Sherrod Brown,7280
Ashland,U.S. Senate,,L,Don Kissick,1019
Ashland,U.S. Senate,,R,Bernie Moreno,17894
Ashtabula,Judge of the Court of Appeals (Term Commencing 02/09/2025),11,R,John J. Eklund,30556
Ashtabula,Judge of the Court of Appeals (Term Commencing 02/10/2025),11,R,Scott Lynch,29966
Ashtabula,Judge of the Court of Appeals (Unexpired Term Ending 02/09/2027),11,R,Robert J. Patton,29619
Ashtabula,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,15424
Ashtabula,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,25806
Ashtabula,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,15780
Ashtabula,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,24937
Ashtabula,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,15476
Ashtabula,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,24992
Ashtabula,President/Vice President,,,Peter Sonski and Lauren Onak,50
Ashtabula,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,129
Ashtabula,President/Vice President,,D,Kamala D. Harris and Tim Walz,15345
Ashtabula,President/Vice President,,L,Chase Oliver and Mike ter Maat,188
Ashtabula,President/Vice President,,R,Donald J. Trump and JD Vance,27656
Ashtabula,U.S. House,14,D,Brian Bob Kenderes,13233
Ashtabula,U.S. House,14,R,David P. Joyce,28458
Ashtabula,U.S. Senate,,D,Sherrod Brown,16785
Ashtabula,U.S. Senate,,L,Don Kissick,1780
Ashtabula,U.S. Senate,,R,Bernie Moreno,24117
Athens,Judge of the Court of Appeals (Term Commencing 02/09/2025),4,R,Jason P. Smith,14270
Athens,Judge of the Court of Appeals (Term Commencing 02/10/2025),4,R,Mike Hess,14172
Athens,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,13761
Athens,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,9988
Athens,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,14457
Athens,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,10292
Athens,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,14324
Athens,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,10280
Athens,President/Vice President,,,Peter Sonski and Lauren Onak,31
Athens,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,72
Athens,President/Vice President,,D,Kamala D. Harris and Tim Walz,14134
Athens,President/Vice President,,L,Chase Oliver and Mike ter Maat,120
Athens,President/Vice President,,R,Donald J. Trump and JD Vance,11369
Athens,U.S. House,12,D,Jerrad Christian,13980
Athens,U.S. House,12,R,Troy Balderson,10764
Athens,U.S. Senate,,D,Sherrod Brown,14696
Athens,U.S. Senate,,L,Don Kissick,916
Athens,U.S. Senate,,R,Bernie Moreno,10013
Auglaize,Judge of the Court of Appeals (Term Commencing 02/09/2025),3,R,John R. Willamowski,21529
Auglaize,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,4434
Auglaize,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,20462
Auglaize,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,4683
Auglaize,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,19849
Auglaize,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,4503
Auglaize,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,19902
Auglaize,President/Vice President,,,Peter Sonski and Lauren Onak,38
Auglaize,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,59
Auglaize,President/Vice President,,D,Kamala D. Harris and Tim Walz,4442
Auglaize,President/Vice President,,L,Chase Oliver and Mike ter Maat,96
Auglaize,President/Vice President,,R,Donald J. Trump and JD Vance,20988
Auglaize,U.S. House,4,D,Tamie Wilson,4585
Auglaize,U.S. House,4,R,Jim Jordan,20837
Auglaize,U.S. Senate,,D,Sherrod Brown,5248
Auglaize,U.S. Senate,,L,Don Kissick,861
Auglaize,U.S. Senate,,R,Bernie Moreno,19363
Belmont,Judge of the Court of Appeals (Term Commencing 02/09/2025),7,R,Katelyn Dickey,23757
Belmont,Justice of the Supreme Court (Term Commencing 01/01/2025),,D,Michael P. Donnelly,8617
Belmont,Justice of the Supreme Court (Term Commencing 01/01/2025),,R,Megan E. Shanahan,21487
Belmont,Justice of the Supreme Court (Term Commencing 01/02/2025),,D,Melody J. Stewart,9080
Belmont,Justice of the Supreme Court (Term Commencing 01/02/2025),,R,Joseph T. Deters,20586
Belmont,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,D,Lisa Forbes,8845
Belmont,Justice of the Supreme Court (Unexpired Term Ending 12/31/2026),,R,Daniel R. Hawkins,20735
Belmont,President/Vice President,,,Peter Sonski and Lauren Onak,47
Belmont,President/Vice President,,,Richard Duncan and Mitchell Preston Bupp,66
Belmont,President/Vice President,,D,Kamala D. Harris and Tim Walz,8080
Belmont,President/Vice President,,L,Chase Oliver and Mike ter Maat,81
Belmont,President/Vice President,,R,Donald J. Trump and JD Vance,22758
Belmont,U.S. House,6,D,Michael L. Kripchak,8484
Belmont,U.S. House,6,R,Michael A. Rulli,20988
Belmont,U.S. Senate,,D,Sherrod Brown,9476
