district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,116560,7114,109295,58436,42552,179,1536,15,743,3318,604,1109,794,1585,2656,46660,91212,3679,87493,50764,30993,173,1478,22,465,1867,557,662,506,1245,2117,33399
2,116728,6242,110488,41105,60971,24,3539,53,600,3067,367,359,514,908,3871,64594,85737,3222,82495,34585,42553,23,2469,49,348,1574,328,166,422,781,2606,44562
3,110152,6627,103513,49764,45743,26,2984,20,491,2904,416,865,246,692,3842,48910,84849,3768,81063,44301,30703,35,2395,23,259,2064,348,662,207,593,3057,32985
4,109668,3450,106180,80400,14795,51,5294,90,835,2916,303,1298,82,432,6597,17816,83146,1898,81231,64033,10407,20,3848,67,335,1601,220,590,77,320,4452,12106
5,114355,5651,108754,72834,27092,69,2538,30,940,3204,613,1177,145,816,3777,30401,83515,2380,81239,58499,17547,44,1953,27,574,1421,542,417,120,694,2396,19077
6,105039,10149,94887,68218,16930,49,3977,157,655,3342,662,932,149,858,4872,20381,77806,5356,72414,54810,11409,55,3019,108,309,1829,525,409,128,695,3409,13338
7,110773,5943,104884,89033,4940,21,6229,52,258,1270,387,2636,70,466,8870,6295,92233,4017,88153,75672,4128,28,5349,56,155,845,283,1616,55,368,6967,5009
8,111808,5840,106010,84182,12617,124,4756,14,621,1811,399,1339,69,599,6095,14501,87668,3500,84207,68873,9289,72,3811,23,306,807,347,505,73,499,4316,10179
9,107308,6283,101012,53052,36919,73,5641,8,907,2862,576,950,133,779,6583,39892,79202,3019,76166,44358,25058,84,3990,10,648,1123,353,508,136,564,4506,26299
10,114911,6716,108249,79731,21481,70,1781,26,796,2077,967,839,582,1624,2589,24145,87212,3116,84161,63843,15475,64,1320,34,514,1251,825,395,451,1340,1728,17171
11,117535,5980,111614,90707,6406,75,9793,0,374,2287,312,1321,0,387,11136,8687,85989,3011,82989,69564,4365,42,6842,15,242,1073,239,383,4,284,7239,5440
12,113718,2720,110954,101409,3908,176,1554,28,390,1278,1849,513,40,2070,2072,5232,89911,1814,88089,81016,3572,141,878,19,270,466,1544,294,54,1742,1166,4088
13,117617,17063,100537,78806,14741,39,2553,77,662,2430,480,525,168,700,3075,17339,95173,12160,82966,67313,11076,49,1881,71,356,1311,398,324,151,612,2203,12525
14,119628,11399,108256,90168,10824,172,3137,19,390,2171,674,520,75,921,3683,13131,97070,7520,89574,77500,7474,152,2510,12,252,770,460,267,62,678,2802,8317
15,119808,16198,103589,87413,9371,47,2887,10,250,2400,416,818,11,462,3707,11752,96371,11469,84892,73078,7261,27,2535,6,166,993,355,488,14,380,3024,8261
16,120655,6311,114344,104398,3808,33,2742,100,191,1545,397,1097,33,463,3839,5386,93917,3723,90194,83515,2904,31,2065,20,124,632,371,502,30,432,2567,3566
17,120830,6136,114698,103063,4282,77,4104,17,165,1218,388,1421,76,541,5499,5521,96653,4217,92439,84336,3376,84,3153,18,93,485,311,641,58,452,3769,3915
18,118338,3527,114809,20221,90306,89,432,5,475,2544,271,246,232,592,679,93044,90900,2272,88645,18437,67173,81,384,0,327,1697,257,101,200,538,487,69038
19,118701,4198,114501,76862,27188,82,5583,47,219,2603,283,1442,233,597,7025,30005,93836,2778,91061,63685,21081,60,3811,41,189,1137,158,719,209,424,4530,22417
20,116694,10353,106315,33534,64966,100,2869,5,598,2570,384,480,727,1217,3344,68357,93351,7033,86295,31643,48700,79,2546,8,349,1524,391,420,601,1079,2961,50879
21,121867,2422,119479,53737,60123,89,1875,4,666,1956,227,541,310,620,2421,62369,96241,1682,94599,45219,45410,70,1511,8,511,1083,193,345,246,503,1860,46734
22,118843,2875,115971,47643,62079,51,2901,24,894,1231,112,869,162,325,3770,63479,91835,2159,89669,37953,47406,44,2371,34,625,509,106,483,138,288,2854,48059
23,122713,2638,120076,100417,15066,66,1389,41,355,2019,198,475,64,330,1856,17135,101187,1942,99242,84810,11450,57,993,11,346,1006,173,347,54,284,1333,12516
24,120863,6361,114484,61804,44222,130,1772,38,530,3334,1828,614,468,2445,2382,48018,92687,2991,89666,53602,30278,25,1498,26,311,1908,1470,369,325,1826,1872,32528
25,106832,5379,101435,57054,37119,181,1428,72,855,2624,891,657,527,1585,2091,40285,84889,2790,82108,50024,27413,117,1197,70,422,1206,702,473,499,1319,1660,29130
26,115234,3474,111793,63755,41319,210,1604,10,687,2702,875,705,370,1400,2306,44262,91210,1894,89356,52691,32315,205,1305,5,301,1272,645,355,377,1192,1674,33923
27,120615,5524,115101,89773,16788,99,3979,205,380,1405,892,881,234,1234,4847,18486,90502,3108,87396,68820,12821,105,2970,174,297,738,833,297,190,1137,3269,13754
28,112965,5290,107651,77998,20345,109,3797,94,901,1840,1178,1247,100,1372,5055,22348,87366,2648,84679,62922,15894,105,2744,87,224,834,1053,708,94,1222,3441,16858
29,112715,2540,110133,74424,27422,167,1744,95,288,2854,2174,481,480,2897,2230,30808,83794,1071,82716,59696,18361,161,1104,76,175,844,1801,151,411,2428,1257,19587
30,112704,1599,111164,95473,9814,324,884,25,203,1764,1922,459,134,2360,1341,11658,84656,751,83930,74941,5676,218,525,5,183,427,1509,223,48,1769,746,6151
31,117971,1849,116120,97102,10609,106,4571,32,254,1837,354,1163,69,529,5755,12501,92986,1304,91673,78027,8411,115,3390,47,50,889,258,378,59,432,3779,9362
32,119729,2564,117160,96323,13424,74,1355,12,399,4099,646,510,207,920,1885,17751,93769,1570,92222,78610,9374,77,967,5,236,1851,580,253,187,837,1247,11456
33,117296,3992,113325,58496,41060,86,5300,46,906,5288,514,700,904,1509,5982,47269,91572,2520,89039,50478,30168,68,3343,28,461,2848,425,563,684,1182,3880,33659
34,116130,2155,113968,100958,6023,34,3788,9,175,1671,420,877,56,509,4642,7757,92190,1429,90768,82035,4467,34,2426,4,131,1022,332,349,19,384,2762,5509
35,123687,2497,121180,114144,2248,42,2084,5,288,1022,737,592,96,879,2678,3359,98731,1731,96994,91949,2040,51,1489,0,159,425,520,318,89,661,1806,2558
36,110604,4191,106321,87186,12980,89,882,40,355,2704,648,1181,199,916,2024,15908,85704,2794,82917,70183,9229,28,765,19,247,1212,542,560,186,731,1313,10659
37,118343,4458,114000,98504,7782,39,3703,11,847,1824,463,884,60,565,4592,9641,90650,2590,88067,77960,5262,30,2569,27,445,753,427,496,54,515,3070,6048
38,117459,4991,112454,61939,44535,88,1124,26,860,2124,645,755,268,991,1909,47044,91939,3029,88911,51984,32873,29,1076,22,708,1188,475,355,169,665,1439,34342
39,121611,2790,118813,75490,35578,45,1116,26,508,4411,709,695,333,1129,1803,40172,95421,1581,93819,61081,28239,40,852,20,368,1947,590,417,321,980,1267,30399
40,116774,3144,113634,101370,7052,27,1004,0,342,2463,680,569,21,712,1585,9567,90002,1864,88147,80608,4745,19,889,5,176,811,508,324,9,536,1214,5547
41,111507,7277,104238,94242,4838,52,2216,30,285,1468,687,529,21,760,2742,6315,86115,4390,81728,74636,3705,24,1714,11,182,790,516,254,33,572,1959,4449
42,117211,9299,107922,89266,12760,63,1169,151,318,2972,538,718,114,723,1881,15835,90650,6194,84473,71503,9738,75,992,108,221,1011,461,475,19,565,1461,10743
43,109548,6456,103037,70966,26338,24,1113,20,343,3206,355,468,135,518,1600,29696,85446,4036,81364,60007,18499,17,828,16,221,1014,332,216,140,489,1060,19731
44,110493,10992,99536,55105,37150,26,1074,23,491,4209,609,453,174,796,1517,41539,84043,6810,77266,45862,27426,44,887,10,360,1457,491,356,176,698,1242,29085
45,116749,7111,109627,86081,11602,77,6898,33,720,2528,434,1076,151,662,7961,14280,87569,3452,84111,68047,8451,41,4868,32,394,1183,367,530,172,578,5395,9808
46,120399,5582,114814,96618,10016,44,2490,50,281,3186,678,1451,42,765,3943,13247,89487,3127,86361,74302,7109,31,1766,45,147,1668,525,754,32,588,2521,8812
47,116905,7054,109860,92318,9028,65,2817,103,531,3629,435,901,56,556,3729,12713,92617,3776,88843,76869,6709,59,2257,40,322,1608,396,566,44,501,2825,8359
48,123496,2234,121238,112271,4483,80,496,7,360,1834,489,707,349,916,1199,6738,96428,1684,94714,89135,3071,75,434,3,218,648,357,422,236,657,855,4004
49,113387,5030,108333,81231,18234,48,1338,113,743,5324,641,451,379,1071,1799,23846,86254,2490,83787,65485,13399,40,1082,55,392,2279,555,257,337,941,1342,15994
50,112594,2608,110019,102646,3708,102,481,5,203,1703,706,327,131,938,805,5565,91222,1866,89354,84272,2930,106,328,4,124,780,566,192,76,750,520,3761
51,111829,3308,108536,105409,718,77,267,12,266,839,651,288,9,737,552,1562,85843,1324,84528,82559,590,68,229,4,133,356,486,100,0,554,327,943
52,118141,9478,108749,93604,8292,68,1648,0,401,3387,574,426,233,881,2046,11898,90724,6106,84680,74537,6230,51,1177,0,213,1656,475,203,120,663,1387,8002
53,123583,21098,102391,85487,12058,128,752,4,161,2569,513,604,73,716,1348,14735,95921,14251,81601,70259,8478,104,623,0,121,1258,391,244,72,571,859,9827
54,119276,5979,113282,106860,2791,81,534,22,355,1297,999,434,58,1129,1005,4114,96467,3823,92610,87384,2591,79,465,15,213,749,861,278,56,971,744,3365
55,122863,3692,119161,111344,2184,69,2564,5,212,1125,562,1070,9,640,3627,3319,92905,2243,90654,85632,1644,42,1769,9,94,564,418,426,14,474,2192,2228
56,116149,3527,112632,95119,5703,71,8180,16,280,1542,412,1123,203,686,9310,7447,88089,2203,85894,74249,4583,80,5098,4,222,756,289,447,208,577,5548,5541
57,121362,8110,113251,106266,3013,138,1167,51,118,1286,519,643,36,691,1818,4349,95684,4495,91192,86406,2467,51,941,40,66,438,420,335,23,494,1283,2922
58,117894,6792,111107,99528,6822,51,945,37,580,2220,369,506,46,466,1451,9088,94686,4562,90139,82454,5231,27,712,31,307,820,288,230,36,351,942,6087
59,120530,7757,112765,84038,23867,107,389,21,503,2733,518,398,188,813,787,26788,95063,5241,89806,69414,17568,66,308,19,382,1251,363,245,196,625,553,19015
60,114163,4125,110025,97268,3593,54,5595,28,324,1034,573,1417,146,773,7007,4768,85186,2677,82501,74712,2537,33,3340,17,193,356,431,742,133,597,4087,3025
61,121913,2861,119056,103438,6043,57,6336,7,267,1009,324,1527,39,422,7871,7088,91313,1663,89660,79545,4363,59,4204,12,110,476,279,616,21,357,4818,4863
62,124220,3271,120949,114186,2043,37,1405,4,245,1309,678,1024,18,733,2429,3370,96879,2104,94775,90345,1553,31,1200,0,122,546,553,421,4,588,1621,2103
63,114300,1605,112693,108240,1328,39,487,14,500,934,589,527,30,658,1014,2293,88640,1052,87590,84616,1031,22,454,18,288,443,454,239,21,497,693,1495
64,123828,3504,120324,99794,14859,78,650,70,273,3207,576,563,82,727,1223,18160,98997,2324,96666,82471,10899,65,505,67,204,1568,438,339,84,576,849,12545
65,113198,1653,111560,108194,1467,43,232,28,112,746,631,207,18,703,433,2216,87119,924,86212,83608,1298,51,149,23,94,356,528,86,11,600,232,1671
66,115936,2653,113278,108912,1157,43,649,115,86,1122,401,756,9,453,1405,2286,90410,1621,88789,85875,866,31,520,70,71,537,310,490,4,345,1010,1405
67,117762,2870,114897,109660,1330,58,766,42,265,1307,688,804,5,751,1570,2644,92501,1954,90547,87080,1111,78,596,52,243,530,519,349,4,601,945,1647
68,115331,3037,112279,102118,3442,16,2646,43,199,2138,917,529,188,1119,3182,5800,89539,1977,87558,81142,2587,0,1783,41,122,764,678,253,166,847,2067,3537
69,122029,2033,119999,108999,4943,58,3207,118,173,922,821,662,144,1020,3862,5979,93012,1177,91839,84036,3860,48,2007,117,76,518,713,343,116,872,2319,4471
70,114026,4076,109961,95313,5590,36,3272,35,808,2575,743,1561,36,815,4831,8194,89663,2840,86831,76388,4526,24,2544,44,501,1315,591,862,41,656,3406,5882
71,113305,1839,111454,101680,5145,93,545,19,418,2362,805,322,53,951,869,7567,89585,1192,88384,81127,4613,76,421,5,329,979,616,180,27,719,601,5619
72,119219,2599,116627,104046,7528,143,1784,0,308,1584,495,688,75,712,2471,9175,97982,1828,96156,87192,5689,123,1340,4,173,893,447,247,62,632,1586,6643
73,125274,3322,121959,99613,14087,70,3958,47,430,2481,637,547,72,783,4505,16643,94561,2139,92421,77781,9624,75,2666,46,245,1108,524,296,69,666,2962,10799
74,113396,4502,108895,92980,9717,55,512,99,278,3579,804,642,233,1092,1154,13529,87015,2433,84583,74166,7483,60,433,62,176,1185,584,322,118,762,755,8786
75,113256,6232,107024,99955,2544,154,1617,124,208,1370,503,505,44,701,2122,3958,90009,4266,85743,80565,2040,125,1075,114,149,962,388,276,49,562,1351,3051
76,124386,2670,121716,105688,8779,85,839,151,725,4166,639,457,187,911,1296,13132,97277,1766,95511,83644,7870,84,671,162,351,1874,511,208,136,731,879,9880
77,114825,2559,112266,107921,1454,92,658,14,439,954,525,197,12,629,855,2420,87060,1569,85491,82541,991,77,562,0,372,474,355,105,14,446,667,1479
78,111576,3502,108081,91688,9722,260,811,16,554,2625,1653,275,456,2370,1088,12807,85117,2209,82912,71961,6991,285,637,20,381,781,1366,145,337,1988,783,8113
79,112633,1892,110744,105597,2219,68,224,61,359,1183,648,319,72,788,543,3474,89547,1208,88340,84671,1781,53,205,30,330,531,502,170,64,619,375,2376
80,124224,2320,121927,114541,2047,34,1322,0,259,2594,666,467,4,704,1789,4642,95576,1386,94200,89408,1687,19,1104,4,161,1169,516,129,5,540,1233,2856
