statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
39,001,39001,Adams County,20824
39,003,39003,Allen County,76554
39,005,39005,Ashland County,40206
39,007,39007,Ashtabula County,75045
39,009,39009,Athens County,51199
39,011,39011,Auglaize County,35024
39,013,39013,Belmont County,52943
39,015,39015,Brown County,33727
39,017,39017,Butler County,286457
39,019,39019,Carroll County,21171
39,021,39021,Champaign County,30092
39,023,39023,Clark County,102475
39,025,39025,Clermont County,162461
39,027,39027,Clinton County,31916
39,029,39029,Columbiana County,79854
39,031,39031,Coshocton County,27916
39,033,39033,Crawford County,32378
39,035,39035,Cuyahoga County,958739
39,037,39037,Darke County,39067
39,039,39039,Defiance County,29524
39,041,39041,Delaware County,160739
39,043,39043,Erie County,59007
39,045,39045,Fairfield County,122338
39,047,39047,Fayette County,21831
39,049,39049,Franklin County,946203
39,051,39051,Fulton County,32122
39,053,39053,Gallia County,22131
39,055,39055,Geauga County,73943
39,057,39057,Greene County,131935
39,059,39059,Guernsey County,29595
39,061,39061,Hamilton County,614988
39,063,39063,Hancock County,57111
39,065,39065,Hardin County,23368
39,067,39067,Harrison County,11288
39,069,39069,Henry County,21046
39,071,39071,Highland County,32954
39,073,39073,Hocking County,21799
39,075,39075,Holmes County,30902
39,077,39077,Huron County,43979
39,079,39079,Jackson County,24737
39,081,39081,Jefferson County,51758
39,083,39083,Knox County,48210
39,085,39085,Lake County,183503
39,087,39087,Lawrence County,44361
39,089,39089,Licking County,138167
39,091,39091,Logan County,35229
39,093,39093,Lorain County,245284
39,095,39095,Lucas County,324542
39,097,39097,Madison County,35180
39,099,39099,Mahoning County,178434
39,101,39101,Marion County,50845
39,103,39103,Medina County,142726
39,105,39105,Meigs County,17315
39,107,39107,Mercer County,31113
39,109,39109,Miami County,83936
39,111,39111,Monroe County,10501
39,113,39113,Montgomery County,405073
39,115,39115,Morgan County,10769
39,117,39117,Morrow County,27621
39,119,39119,Muskingum County,66512
39,121,39121,Noble County,11529
39,123,39123,Ottawa County,32802
39,125,39125,Paulding County,14119
39,127,39127,Perry County,27080
39,129,39129,Pickaway County,47010
39,131,39131,Pike County,20626
39,133,39133,Portage County,129535
39,135,39135,Preble County,31613
39,137,39137,Putnam County,25313
39,139,39139,Richland County,97201
39,141,39141,Ross County,60113
39,143,39143,Sandusky County,45611
39,145,39145,Scioto County,56542
39,147,39147,Seneca County,42675
39,149,39149,Shelby County,35941
39,151,39151,Stark County,289977
39,153,39153,Summit County,414626
39,155,39155,Trumbull County,158959
39,157,39157,Tuscarawas County,69736
39,159,39159,Union County,49310
39,161,39161,Van Wert County,21972
39,163,39163,Vinton County,10003
39,165,39165,Warren County,181036
39,167,39167,Washington County,46992
39,169,39169,Wayne County,87142
39,171,39171,Williams County,28361
39,173,39173,Wood County,103139
39,175,39175,Wyandot County,16557
