district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,265989,91.93,0.92,5.03,0.08,0.48,0.03,0.13
2,District 2,263335,77.8,13.15,5.64,0.1,0.85,0.06,0.25
3,District 3,253873,73.41,17.11,2.91,0.05,2.8,0.05,0.56
4,District 4,269673,81.29,8.26,3.84,0.05,3.3,0.04,0.32
5,District 5,280999,82.24,12.34,1.72,0.03,1.01,0.01,0.25
6,District 6,268293,74.59,17.65,3.14,0.03,1.64,0.03,0.52
7,District 7,271496,84.24,7.02,2.78,0.08,3.62,0.07,0.23
8,District 8,255816,77.23,15.61,1.75,0.19,1.71,0.07,0.23
9,District 9,268786,58.16,33.49,2.86,0.13,1.49,0.04,0.38
10,District 10,266263,87.01,6.24,2.43,0.06,1.28,0.04,0.38
11,District 11,262211,78.62,12.18,5.58,0.04,1.35,0.05,0.24
12,District 12,258375,91.43,3.59,1.9,0.15,0.44,0.01,0.35
13,District 13,283112,82.01,6.11,8.54,0.08,0.8,0.01,0.19
14,District 14,273449,94.39,1.57,1.44,0.06,0.73,0.02,0.2
15,District 15,254755,55.02,33.35,4.81,0.1,2.73,0.07,0.44
16,District 16,263568,83.26,6.54,3.16,0.1,4.37,0.02,0.31
17,District 17,269034,94.28,2.45,0.92,0.11,0.36,0.05,0.18
18,District 18,290707,80.8,12.04,3.17,0.06,1.98,0.03,0.21
19,District 19,267724,90.4,2.79,2.09,0.06,2.91,0.02,0.15
20,District 20,277112,87.68,5.8,1.91,0.04,2.33,0.07,0.16
21,District 21,278976,36.42,57.35,2.19,0.07,1.53,0.02,0.52
22,District 22,280188,91.58,3.51,1.91,0.07,0.64,0.1,0.24
23,District 23,285594,61.79,23.55,9.35,0.1,2.43,0.03,0.34
24,District 24,286941,83.96,4.72,6.76,0.05,2.7,0.02,0.13
25,District 25,256284,64.12,23.37,4.22,0.06,4.58,0.03,0.41
26,District 26,264820,90.84,2.53,3.58,0.1,0.74,0.01,0.14
27,District 27,278945,85.56,7.98,1.54,0.08,2.43,0.02,0.15
28,District 28,288285,79.65,13.15,2.11,0.08,2.14,0.01,0.28
29,District 29,273904,87.22,7.08,2.21,0.08,0.67,0.02,0.27
30,District 30,272098,93.25,2.68,1.21,0.09,0.4,0.01,0.21
31,District 31,261081,94.77,1.59,1.37,0.07,0.4,0.01,0.26
32,District 32,284818,90.0,5.36,2.19,0.05,0.38,0.03,0.27
33,District 33,279296,84.69,8.8,3.94,0.05,0.44,0.03,0.36
