district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,763357,30420,732888,541882,137572,778,21388,461,3088,13075,6885,5726,1795,9461,27111,152464,587217,16715,570399,434729,101496,608,15071,375,1719,6390,5479,2788,1584,7672,17858,109487
2,781833,11272,770558,731143,15094,716,3480,290,1782,8732,6490,2619,203,7408,6099,24035,607459,7135,600322,572568,12698,546,2946,180,1037,3665,5340,1141,190,6075,4087,16564
3,735257,38044,697229,424710,208282,347,28895,251,4611,17334,2787,7795,2067,5192,36676,227708,566459,21265,545194,355288,146648,341,22556,247,2470,9218,2179,4499,1581,4100,27052,157476
4,782684,19716,762979,685519,33681,749,15650,269,2598,13180,5849,4383,1095,7684,20040,47960,598947,12516,586428,533608,26404,696,10468,246,1483,5724,4704,2190,896,6288,12675,33013
5,778665,57101,721578,666366,28700,631,4757,207,1784,11904,3998,2754,503,5143,7510,41105,605509,37538,567986,529962,21590,571,3614,174,1099,6144,3011,1438,400,3990,5051,28136
6,773663,23737,749950,679221,45593,502,2875,160,2397,12110,3995,2424,543,5033,5226,58257,615809,15631,600175,550634,34388,452,2304,115,1628,5672,3045,1309,523,4019,3591,40566
7,763959,30947,733008,671071,25351,492,16653,292,1675,8302,2923,6069,222,3646,22720,33865,602266,20214,582049,538864,19241,440,12908,160,1213,3739,2234,3118,181,2863,16027,23159
8,763007,28826,734228,585623,98798,795,16986,285,3205,16505,6132,5111,1023,7946,22103,116295,579216,14462,564859,464456,70296,600,12156,207,1658,7038,5078,2633,874,6551,14791,78191
9,770637,56302,714320,588925,91420,448,7489,355,1897,16311,3788,3102,562,4787,10592,108292,600184,36186,563986,477404,66965,389,5780,207,1379,6351,3183,1882,422,3986,7663,73739
10,767366,26615,740749,566153,126529,411,11737,228,4003,20087,4366,6027,1197,5970,17756,147813,597248,16598,580646,456729,95485,242,9192,182,2686,8488,3485,3225,916,4641,12413,104885
11,750495,57073,693425,318676,332748,488,14614,172,3693,15580,2089,3454,1849,4427,18070,350181,592220,39676,552546,273763,250807,413,11591,168,2501,7861,1770,2042,1565,3748,13632,260233
12,789865,15909,773914,708022,30199,349,12501,258,1754,10943,5277,4077,548,6173,16613,41698,607779,9700,598054,553808,22360,315,8338,255,1080,4961,4198,2321,455,4968,10651,27787
13,766538,19526,747029,600408,93692,493,18721,217,2823,20560,3552,4784,1949,5999,23537,116186,604056,12203,591879,491026,69451,474,12934,142,1526,9792,2858,2350,1447,4780,15297,80713
14,775576,24185,751395,685590,39751,510,5907,217,1888,10636,3456,3089,335,4301,8995,50723,618388,15073,603322,557082,30108,386,4391,153,1372,5027,2775,1725,295,3456,6116,35424
15,757395,38653,718721,575098,88444,577,22409,246,3418,16414,4872,6671,730,6196,29099,105566,573043,19728,553315,458079,60627,436,16213,222,2174,8429,4087,2613,639,5166,18832,69658
