district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,345295,20945,324344,312494,3359,221,1612,139,611,2815,1823,1181,95,2140,2795,6273,265989,13373,252610,244514,2439,212,1274,85,350,1607,1314,715,103,1630,1991,4149
2,335548,22823,312785,250900,46620,290,3017,177,875,7673,1638,1085,311,2228,4091,54621,263335,14856,248546,204887,34616,271,2238,146,658,3227,1368,669,261,1895,2906,38146
3,338934,15817,323183,232965,63368,190,9613,146,2571,8197,1883,3314,809,2872,12963,72362,253873,7394,246631,186375,43429,128,7121,128,1423,4273,1587,1402,648,2354,8576,48354
4,354053,19747,334301,275017,30646,186,12205,186,1532,9343,1547,3428,249,1983,15633,40240,269673,10355,259315,219218,22269,131,8891,117,863,4459,1288,1850,248,1667,10741,26979
5,362609,8254,354374,291401,44677,106,3442,26,1109,9468,2055,1731,358,2545,5177,54381,280999,4831,276166,231097,34671,78,2845,29,705,3927,1614,870,335,2056,3714,38802
6,346406,13640,332775,247629,65297,216,5709,77,2062,6652,1756,2820,527,2472,8525,72593,268293,8413,259895,200127,47364,87,4410,68,1400,3153,1444,1411,409,1911,5822,51049
7,359627,12743,346894,296236,24675,239,14723,226,872,4072,1866,3074,446,2560,17784,29252,271496,7554,263944,228701,19048,227,9837,187,613,2058,1540,1170,412,2188,11009,21523
8,338384,9429,328948,247895,57581,600,6425,214,1392,6458,5274,2187,714,6629,8626,64814,255816,4470,251325,197559,39931,484,4373,168,582,2105,4363,1082,553,5419,5444,42596
9,342929,15214,327712,182613,122660,521,4804,120,2072,8660,3594,1976,1365,5430,6779,132565,268786,7675,261130,156317,90006,347,4000,101,1034,4386,2817,1197,1201,4337,5206,95581
10,340727,10417,330310,289973,20452,184,4329,153,1504,8516,2352,2525,322,2858,6854,29290,266263,6465,259798,231681,16622,160,3398,111,1006,3479,1791,1364,186,2137,4762,20287
11,338266,23032,315197,254474,43936,139,4498,201,946,7646,1580,1715,270,2001,6223,51846,262211,14620,247565,206146,31942,116,3534,135,624,2815,1309,945,192,1626,4480,34923
12,339574,7823,331734,305908,12843,409,1433,37,1290,5144,2802,1294,561,3771,2725,18547,258375,4913,253458,236244,9275,379,1149,24,913,1998,2266,773,432,3076,1920,11710
13,361000,36555,324422,285951,23141,277,2934,26,917,7253,2086,1464,364,2726,4399,30747,283112,24180,258891,232180,17299,234,2265,15,547,3663,1727,725,248,2205,2990,21194
14,352117,6397,345720,329217,5213,223,2253,50,969,3459,2536,1737,63,2822,3990,8735,273449,3940,269509,258121,4289,157,1983,52,560,1490,2072,737,48,2277,2720,5827
15,338327,23505,314670,167759,120453,252,9052,225,1998,9727,1633,2400,1457,3351,11399,131635,254755,12257,242402,140159,84955,251,6966,179,1122,5270,1410,1237,1056,2721,8132,91299
16,343061,14540,328578,276298,22931,375,16103,42,1385,5376,2560,3173,109,3056,19303,28420,263568,8325,255285,219453,17226,255,11531,57,818,2346,2130,1182,131,2525,12721,19707
17,346990,3835,343160,324919,7737,391,1257,217,902,4105,2723,751,170,3285,2008,12007,269034,2484,266551,253654,6578,295,975,128,479,1738,2274,293,151,2724,1268,8472
18,362776,14946,347828,283545,45267,286,8139,139,692,5908,1000,2560,333,1618,10699,51489,290707,9215,281495,234901,34998,168,5745,92,601,2581,751,1401,286,1202,7146,37855
19,359302,8769,350533,318958,10355,184,12319,55,736,2813,1804,3098,211,2199,15417,13379,267724,5595,262129,242011,7481,173,7790,45,399,1197,1352,1510,171,1696,9300,8849
20,362634,8392,354237,310730,22472,144,9811,208,802,5541,2375,1738,404,2922,11549,28422,277112,5293,271818,242959,16071,123,6456,204,443,2390,1915,892,351,2385,7348,18807
21,359048,8824,350259,121601,212508,229,5208,33,2035,5731,610,1656,704,1537,6870,218892,278976,6113,272913,101609,159989,195,4266,42,1463,3289,556,929,584,1329,5201,163831
22,358084,8193,349891,324260,11266,186,2254,308,1076,6595,1728,2017,201,2115,4271,18062,280188,5341,274847,256599,9847,193,1787,284,665,2941,1340,1047,144,1677,2834,12932
23,353939,38815,315108,202508,90531,311,8559,101,1650,7171,1538,1525,970,2838,10102,98827,285594,26713,258835,176456,67250,280,6937,91,957,3605,1249,1011,814,2369,7966,71721
24,361293,28645,332631,294874,17461,157,9733,127,606,5163,1201,3336,120,1466,13045,22659,286941,19409,267525,240929,13541,142,7753,44,383,2110,1037,1631,102,1264,9360,15742
25,328233,18853,309409,191849,87602,120,14854,80,1656,7036,1379,4451,449,1937,19295,95097,256284,10804,245382,164331,59889,147,11734,89,1062,4032,984,2786,398,1525,14530,64293
26,340393,14533,325860,304554,8174,312,2855,52,592,5629,2401,1053,238,2951,3908,14041,264820,9486,255334,240574,6701,272,1957,29,374,2633,1940,605,249,2461,2562,9583
27,353830,6568,347248,294383,30056,214,9714,53,828,7607,1420,2550,332,1958,12282,38009,278945,4303,274663,238672,22252,226,6783,56,417,3762,1170,980,265,1653,7788,26327
28,360202,9088,351132,276686,50836,271,9168,51,1502,7894,1746,1980,1075,3100,11131,59803,288285,6079,282189,229619,37897,242,6172,32,793,4166,1392,1128,835,2475,7272,42860
29,349477,9872,339590,296148,26425,230,2315,125,1306,8861,1836,1485,859,2925,3803,36149,273904,6040,267855,238892,19400,221,1844,62,734,3707,1478,871,649,2348,2717,23759
30,335372,4719,330664,310695,8680,213,1373,21,729,5010,2289,1594,70,2569,2967,13762,272098,3303,268812,253723,7283,240,1084,27,566,2813,1846,1166,60,2148,2250,10156
31,340685,7143,333546,318029,5547,225,1309,49,924,4635,1936,852,30,2194,2158,10206,261081,3589,257484,247429,4156,192,1043,28,670,2121,1432,395,19,1641,1436,6293
32,360125,9809,350312,318775,20177,159,1484,125,1033,5379,1953,1112,129,2241,2595,25673,284818,6241,278573,256324,15270,137,1096,98,782,2556,1517,655,131,1787,1754,17947
33,351057,16441,334616,289163,32908,226,1558,119,1442,6136,1535,1223,306,2067,2781,39350,279296,11011,268285,236539,24580,146,1225,80,1019,2602,1153,645,296,1595,1870,27478
