district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,345295,20945,324344,312494,3359,221,1612,139,611,2815,1823,1181,95,2140,2795,6273,265989,13373,252610,244514,2439,212,1274,85,350,1607,1314,715,103,1630,1991,4149
2,338025,17181,320827,294396,12478,278,4547,188,493,5036,1745,1616,118,2141,6157,17618,266931,10936,255916,237269,9691,236,3423,159,410,2466,1388,887,81,1704,4299,12166
3,355195,15362,339956,259838,59771,389,4779,101,2192,6630,3467,2372,489,4349,7165,66851,270918,7713,263363,209027,41080,312,3613,106,1445,3259,2947,1022,486,3735,4630,44798
4,354053,19747,334301,275017,30646,186,12205,186,1532,9343,1547,3428,249,1983,15633,40240,269673,10355,259315,219218,22269,131,8891,117,863,4459,1288,1850,248,1667,10741,26979
5,349988,7561,342473,298652,26918,118,3496,26,960,8716,2044,1650,102,2261,5140,35671,270115,4578,265554,235686,20376,73,2855,29,667,3398,1629,835,92,1792,3689,23867
6,359027,14333,344676,240378,83056,204,5655,77,2211,7404,1767,2901,783,2756,8562,91303,279177,8666,270507,195538,61659,92,4400,68,1438,3682,1429,1446,652,2175,5847,65984
7,354417,13281,341144,284611,29202,259,15787,272,1242,4094,1958,3200,327,2547,19002,33726,268613,7439,261161,221666,22566,242,10447,260,585,1976,1569,1447,339,2143,11895,24879
8,350983,8604,342425,262742,57071,649,5193,164,1136,7279,4991,2299,688,6323,7488,64985,263191,4119,259112,206206,39915,529,3703,91,540,2613,4144,793,528,5195,4486,43052
9,335540,15501,319985,179391,118643,452,4972,124,1958,7817,3785,1738,1510,5749,6699,127920,264294,8141,256126,154705,86504,287,4060,105,1104,3960,3007,1209,1299,4606,5278,91769
10,340720,10417,330303,289967,20452,184,4329,153,1504,8516,2352,2522,322,2858,6853,29290,266256,6465,259791,231675,16622,160,3398,111,1006,3479,1791,1356,186,2137,4760,20287
11,333286,27886,305382,209375,78019,119,2897,193,1217,10223,1610,1210,433,2162,4113,88701,257804,17850,239966,173629,56820,124,2293,122,784,3583,1410,755,344,1879,3059,60832
12,339574,7823,331734,305908,12843,409,1433,37,1290,5144,2802,1294,561,3771,2725,18547,258375,4913,253458,236244,9275,379,1149,24,913,1998,2266,773,432,3076,1920,11710
13,363503,37343,326195,287554,23200,309,3005,23,1028,7313,1949,1438,394,2652,4443,30895,283923,24870,259120,232315,17346,261,2321,15,635,3656,1606,697,276,2143,3018,21265
14,352117,6397,345720,329217,5213,223,2253,50,969,3459,2536,1737,63,2822,3990,8735,273449,3940,269509,258121,4289,157,1983,52,560,1490,2072,737,48,2277,2720,5827
15,335694,21178,314465,145082,143664,160,8592,67,1834,9384,1387,2559,1878,3422,11167,155003,254590,10641,243889,125045,101082,169,6746,72,1037,5565,1243,1672,1323,2743,8418,108026
16,338002,14739,323274,256344,31021,256,20923,113,1774,6914,1034,4414,129,1435,25364,38161,255877,8330,247550,203086,22225,146,14980,105,850,3408,806,1740,146,1100,16738,25797
17,346990,3835,343160,324919,7737,391,1257,217,902,4105,2723,751,170,3285,2008,12007,269034,2484,266551,253654,6578,295,975,128,479,1738,2274,293,151,2724,1268,8472
18,360756,14904,345866,298024,28841,282,8928,137,609,5303,936,2686,137,1355,11614,34273,289684,9247,280449,246564,22162,161,6468,92,523,2248,720,1420,108,982,7886,24515
19,359302,8769,350533,318958,10355,184,12319,55,736,2813,1804,3098,211,2199,15417,13379,267724,5595,262129,242011,7481,173,7790,45,399,1197,1352,1510,171,1696,9300,8849
20,362634,8392,354237,310730,22472,144,9811,208,802,5541,2375,1738,404,2922,11549,28422,277112,5293,271818,242959,16071,123,6456,204,443,2390,1915,892,351,2385,7348,18807
21,358777,9538,349237,119274,213571,229,4912,32,2097,6126,634,1570,882,1748,6460,220570,280496,6501,273979,100337,162265,202,3968,42,1528,3515,536,875,747,1487,4821,166527
22,358084,8193,349891,324260,11266,186,2254,308,1076,6595,1728,2017,201,2115,4271,18062,280188,5341,274847,256599,9847,193,1787,284,665,2941,1340,1047,144,1677,2834,12932
23,356643,33212,323414,201958,99769,205,8359,66,1448,6918,1336,2178,950,2496,10580,107630,283030,23066,259959,171434,73857,180,6752,63,785,3608,1188,1174,799,2171,7960,78266
24,360880,33576,327309,283272,23586,267,9440,165,829,5626,1443,2643,158,1860,12062,29394,289008,22636,266381,235560,17494,242,7513,72,568,2214,1149,1503,132,1524,9006,19841
25,319671,21436,298152,207613,59898,132,15328,212,1810,7408,1567,3996,328,2010,19265,67499,247102,12096,234905,173166,41112,154,12013,170,1093,3689,1115,2181,278,1547,14175,45032
26,340393,14533,325860,304554,8174,312,2855,52,592,5629,2401,1053,238,2951,3908,14041,264820,9486,255334,240574,6701,272,1957,29,374,2633,1940,605,249,2461,2562,9583
27,362650,6447,356193,314709,22783,263,8389,40,673,5251,1386,2269,283,1932,10660,28334,291066,4418,286640,257571,17295,259,6003,49,335,2751,1150,908,215,1626,6909,20262
28,343299,8975,334334,248664,58056,194,10498,64,1522,10315,1777,2267,1124,3095,12763,69478,271218,5820,265406,205960,42814,180,6958,39,833,5236,1408,1197,885,2471,8157,48934
29,349477,9872,339590,296148,26425,230,2315,125,1306,8861,1836,1485,859,2925,3803,36149,273904,6040,267855,238892,19400,221,1844,62,734,3707,1478,871,649,2348,2717,23759
30,335372,4719,330664,310695,8680,213,1373,21,729,5010,2289,1594,70,2569,2967,13762,272098,3303,268812,253723,7283,240,1084,27,566,2813,1846,1166,60,2148,2250,10156
31,340685,7143,333546,318029,5547,225,1309,49,924,4635,1936,852,30,2194,2158,10206,261081,3589,257484,247429,4156,192,1043,28,670,2121,1432,395,19,1641,1436,6293
32,368208,10043,358165,326471,20230,187,1479,125,1168,5314,1956,1106,129,2272,2585,25673,289764,6385,283379,261084,15310,166,1090,98,824,2497,1521,658,131,1818,1748,17938
33,351057,16441,334616,289163,32908,226,1558,119,1442,6136,1535,1223,306,2067,2781,39350,279296,11011,268285,236539,24580,146,1225,80,1019,2602,1153,645,296,1595,1870,27478
