district,CVAP_TOT24
1,86798
2,87171
3,80778
4,90590
5,85923
6,77808
7,87735
8,80802
9,80427
10,92316
11,84987
12,93050
13,95303
14,95250
15,96649
16,95277
17,96845
18,92034
19,93174
20,91892
21,95636
22,93336
23,100201
24,87598
25,85943
26,90320
27,91315
28,87696
29,88098
30,84022
31,96701
32,93021
33,88541
34,89740
35,95861
36,91809
37,90545
38,96269
39,86570
40,88245
41,87980
42,84653
43,84994
44,88454
45,87830
46,89505
47,92368
48,96751
49,86235
50,90830
51,85896
52,94208
53,92313
54,97557
55,93029
56,88008
57,96645
58,92014
59,92731
60,80377
61,96887
62,96892
63,88770
64,98027
65,94515
66,90465
67,92467
68,93170
69,89165
70,89803
71,89505
72,98396
73,94598
74,87017
75,88152
76,97205
77,87143
78,85145
79,94719
80,95516
81,86180
82,86280
83,92703
84,85036
85,89039
86,89067
87,87646
88,88287
89,90440
90,87894
91,86220
92,91764
93,91236
94,89643
95,92257
96,90134
97,88374
98,90508
99,97310
