county,office,district,party,candidate,votes
Adams,Attorney General,2.0,Democratic,Marc Dann,3380
Adams,Attorney General,2.0,Republican,Betty Montgomery,4307
Adams,Auditor of State,2.0,Democratic,Barbara Sykes,3251
Adams,Auditor of State,2.0,Republican,Mary Taylor,4829
Adams,Governor/Lieutenant Governor,2.0,Democratic,Ted Strickland,4725
Adams,Governor/Lieutenant Governor,2.0,Non-partisan,Robert Fitrakis,71
Adams,Governor/Lieutenant Governor,2.0,Non-partisan,William S. Peirce,117
Adams,Governor/Lieutenant Governor,2.0,Republican,J. Kenneth Blackwell,3771
Adams,Secretary of State,2.0,Democratic,Jennifer L. Brunner,3690
Adams,Secretary of State,2.0,Non-partisan,John A. Eastman,222
Adams,Secretary of State,2.0,Non-partisan,Timothy J. Kettler,156
Adams,Secretary of State,2.0,Republican,Greg Hartman,4193
Adams,Treasurer of State,2.0,Democratic,Richard Cordray,3897
Adams,Treasurer of State,2.0,Republican,Sandra O'Brien,4396
Adams,U.S. Senate,2.0,Democratic,Sherrod Brown,3903
Adams,U.S. Senate,2.0,Republican,Mike DeWine,4667
Allen,Attorney General,4.0,Democratic,Marc Dann,15522
Allen,Attorney General,4.0,Republican,Betty Montgomery,20887
Allen,Auditor of State,4.0,Democratic,Barbara Sykes,14556
Allen,Auditor of State,4.0,Republican,Mary Taylor,20476
Allen,Governor/Lieutenant Governor,4.0,Democratic,Ted Strickland,18000
Allen,Governor/Lieutenant Governor,4.0,Non-partisan,Robert Fitrakis,328
Allen,Governor/Lieutenant Governor,4.0,Non-partisan,William S. Peirce,709
Allen,Governor/Lieutenant Governor,4.0,Republican,J. Kenneth Blackwell,17184
Allen,Secretary of State,4.0,Democratic,Jennifer L. Brunner,14934
Allen,Secretary of State,4.0,Non-partisan,John A. Eastman,820
Allen,Secretary of State,4.0,Non-partisan,Timothy J. Kettler,720
Allen,Secretary of State,4.0,Republican,Greg Hartman,18906
Allen,Treasurer of State,4.0,Democratic,Richard Cordray,15653
Allen,Treasurer of State,4.0,Republican,Sandra O'Brien,19650
Allen,U.S. Senate,4.0,Democratic,Sherrod Brown,16597
Allen,U.S. Senate,4.0,Republican,Mike DeWine,19521
Ashland,Attorney General,16.0,Democratic,Marc Dann,6401
Ashland,Attorney General,16.0,Republican,Betty Montgomery,7546
Ashland,Attorney General,5.0,Democratic,Marc Dann,2288
Ashland,Attorney General,5.0,Republican,Betty Montgomery,2091
Ashland,Auditor of State,16.0,Democratic,Barbara Sykes,5228
